File Name,Lower Threshold,Higher Threshold,Peak,Width
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Kidney 1824.tif,2805,14253,8529,11448
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Kidney 539.tif,1438,2070,1754,632
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Liver 1824.tif,3928,26386,15157,22458
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Liver 539.tif,1729,5301,3515,3572
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Pancreas 1824.tif,2181,12469,7325,10288
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Pancreas 539.tif,1139,2499,1819,1360
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Spleen 1824.tif,1799,4451,3125,2652
D:\Image Files\LSBIO Leong TLR2 539M+1824PosNM\Leong TLR2 539M+1824PosNM - Spleen 539.tif,1357,4439,2898,3082
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - NPC Kidney.tif,1543,3523,2533,1980
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - NPC Liver.tif,3309,17729,10519,14420
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - NPC Pancreas.tif,4282,7182,5732,2900
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - NPC Spleen.tif,1294,3784,2539,2490
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - Primary-LSBIO Kidney.tif,2731,3443,3087,712
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - Primary-LSBIO Liver.tif,3715,19249,11482,15534
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - Primary-LSBIO Pancreas.tif,2722,9468,6095,6746
D:\Image Files\LSBIO TLR2_Edited_1829\TLR2_Edited_1829 - Primary-LSBIO Spleen.tif,1698,3370,2534,1672
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - NPC Kidney.tif,2011,2965,2488,954
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - NPC Liver.tif,951,4023,2487,3072
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - NPC Pancreas.tif,677,1769,1223,1092
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - NPC Spleen.tif,1082,4820,2951,3738
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - Primary-LSBIO Kidney.tif,339,783,561,444
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - Primary-LSBIO Liver.tif,920,4028,2474,3108
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - Primary-LSBIO Pancreas.tif,717,1797,1257,1080
D:\Image Files\LSBIO TLR2_Hom\TLR2_Hom - Primary-LSBIO Spleen.tif,946,2140,1543,1194
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Kidney.tif,2005,7277,4641,5272
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Kidney_NPC.tif,2713,12475,7594,9762
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Liver.tif,2028,11058,6543,9030
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Liver_NPC.tif,2800,12992,7896,10192
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Pancreas.tif,6740,17178,11959,10438
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Pancreas_NPC.tif,7694,25046,16370,17352
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Spleen.tif,2008,9772,5890,7764
D:\Image Files\LSBIO TLR7 Edited\TLR7 Edited - Spleen_NPC.tif,1553,9739,5646,8186
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - NPC Adrenal.tif,1200,6880,4040,5680
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - NPC Kidney.tif,2294,2758,2526,464
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - NPC Liver.tif,1307,3763,2535,2456
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - NPC Pancreas.tif,786,2064,1425,1278
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - NPC Spleen.tif,865,3321,2093,2456
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - Primary-LSBIO Adrenal.tif,928,5528,3228,4600
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - Primary-LSBIO Kidney.tif,746,1756,1251,1010
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - Primary-LSBIO Liver.tif,1120,3460,2290,2340
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - Primary-LSBIO Pancreas.tif,795,1943,1369,1148
D:\Image Files\LSBIO TLR7_Unedited\TLR7_Unedited - Primary-LSBIO Spleen.tif,839,2635,1737,1796
